Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,WAR,playerid
Charlie Buffinton,- - -,586,2309,7,245,255,14,3.9 %,4.9 %,.054,.256,.245,.276,.299,.272,79,-1.8,1001634
Tom Carey,- - -,536,2408,5,405,271,26,0.6 %,2.5 %,.051,.275,.269,.274,.320,.272,93,8.1,1001948
Mario Guerrero,- - -,678,2414,7,166,170,8,3.5 %,6.3 %,.055,.270,.257,.285,.312,.272,67,-0.6,1005118
Jeff Hamilton,Dodgers,381,1273,24,111,124,0,3.4 %,16.6 %,.115,.263,.234,.263,.349,.272,74,0.1,1005275
Rafael Landestoy,- - -,520,1367,4,134,83,54,7.3 %,9.0 %,.063,.259,.237,.296,.300,.272,71,0.5,1007292
Mark Belanger,- - -,1905,6602,20,676,389,167,8.7 %,12.7 %,.052,.261,.228,.300,.280,.272,71,34.9,1000786
Art Whitney,- - -,978,4001,6,475,349,67,7.5 %,5.9 %,.046,.229,.223,.285,.269,.272,76,6.2,1013906
Nat Hicks,- - -,257,1167,1,173,117,9,2.0 %,2.0 %,.044,.268,.263,.278,.307,.272,95,2.6,1005781
Billy Purtell,- - -,335,1268,2,82,104,24,5.0 %,8.5 %,.048,.188,.227,.275,.275,.272,73,2.1,1010575
Art Hoelskoetter,Cardinals,299,1024,2,59,53,9,3.9 %, ,.045,.000,.236,.271,.282,.271,74,-0.3,1005894
Tom Needham,- - -,523,1651,8,113,117,20,6.6 %,14.7 %,.063,.227,.209,.274,.272,.271,69,-0.3,1009479
Lute Boone,- - -,315,1169,6,102,76,32,7.8 %,9.5 %,.052,.229,.209,.282,.261,.271,64,0.5,1001188
Jack Burdock,- - -,1187,5065,18,777,503,59,2.8 %,6.8 %,.065,.274,.250,.272,.315,.271,91,16.4,1001664
Alfredo Griffin,- - -,1934,7331,24,759,527,191,4.6 %,9.1 %,.070,.271,.249,.285,.319,.271,65,-1.0,1005036
Mike Benjamin,- - -,761,2124,24,227,169,44,5.0 %,20.2 %,.110,.282,.229,.277,.339,.271,57,6.0,981
Doug Dascenzo,- - -,471,1362,5,156,90,49,7.6 %,8.6 %,.063,.254,.234,.293,.297,.271,63,-2.2,1002998
Joe DeMaestri,- - -,1121,3678,49,322,281,15,4.6 %,13.9 %,.089,.263,.236,.274,.325,.271,56,-1.7,1003186
George McBride,- - -,1659,6235,7,516,447,133,6.7 %,10.8 %,.046,.237,.218,.281,.264,.271,68,17.1,1008342
Malachi Kittridge,- - -,1215,4446,17,375,390,64,7.1 %,8.9 %,.055,.240,.219,.277,.274,.270,59,-1.8,1006983
Jerry Dybzinski,- - -,373,1037,3,108,93,32,6.8 %,10.5 %,.056,.261,.234,.293,.290,.270,63,0.9,1003610
Moe Berg,- - -,663,1961,6,150,206,11,4.0 %,6.0 %,.056,.257,.243,.278,.299,.270,48,-4.7,1000880
Bill Sherdel,- - -,548,1068,9,96,86,2,5.9 %,9.0 %,.075,.240,.223,.271,.298,.270,51,2.0,1011869
Manny Alexander,- - -,539,1387,15,166,115,37,6.2 %,19.9 %,.094,.283,.231,.282,.324,.270,55,-3.0,1954
David Howard,- - -,582,1795,11,169,148,23,7.6 %,17.3 %,.075,.275,.229,.291,.303,.270,56,1.5,1006075
Jose Uribe,- - -,1012,3369,19,307,219,74,7.6 %,12.6 %,.073,.274,.241,.300,.314,.270,70,6.4,1013300
Vic Harris,- - -,558,1806,13,168,121,36,8.9 %,15.6 %,.078,.253,.217,.287,.295,.270,64,-7.1,1005434
Chuck Cottier,- - -,580,1770,19,168,127,28,7.7 %,14.0 %,.097,.247,.220,.282,.317,.270,65,0.3,1002663
Walter Blair,- - -,442,1380,3,80,106,18,6.2 %,13.2 %,.058,.272,.217,.272,.275,.270,60,-0.7,1001032
Bill Killefer,- - -,1035,3400,4,237,240,39,3.3 %,4.0 %,.044,.257,.238,.273,.283,.270,61,0.3,1006902
Jimmy Macullar,- - -,449,1710,7,246,91,23,9.1 %,10.8 %,.069,.237,.207,.285,.276,.270,92,3.5,1007936
Tim Foli,- - -,1666,6573,25,576,501,81,4.0 %,6.1 %,.059,.262,.251,.283,.309,.270,62,6.1,1004202
Danny Sheaffer,- - -,356,1032,13,87,110,6,5.8 %,11.8 %,.092,.251,.232,.278,.323,.270,54,-2.7,1011829
Alberto T. Castillo,- - -,380,1173,12,98,101,3,8.8 %,18.7 %,.077,.266,.220,.293,.297,.270,54,1.0,812
