Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,WAR,playerid
Anthony Rizzo,- - -,296,1211,39,124,137,11,10.2 %,19.4 %,.174,.270,.238,.324,.412,.323,100,2.7,3473
Joe Pepitone,- - -,1397,5476,219,606,721,41,5.5 %,9.6 %,.174,.250,.258,.301,.432,.323,104,12.7,1010167
Rob Ducey,- - -,619,1478,31,190,146,22,11.2 %,23.4 %,.154,.303,.242,.331,.396,.322,91,3.4,1003520
Dave Fultz,- - -,644,2713,3,369,223,189,7.4 %, ,.061,.000,.271,.332,.331,.322,91,6.3,1004404
Walt Bond,- - -,365,1338,41,149,179,10,7.9 %,13.1 %,.154,.268,.256,.323,.410,.322,106,1.6,1001159
Wattie Holm,Cardinals,436,1649,6,207,174,11,6.1 %,5.2 %,.096,.288,.275,.322,.370,.322,80,-0.1,1005981
Glenn Braggs,- - -,689,2609,70,308,321,58,8.1 %,18.1 %,.147,.291,.257,.322,.405,.322,98,6.3,1001333
Possum Whitted,- - -,1025,4041,23,440,451,116,5.3 %,7.7 %,.092,.290,.269,.313,.361,.322,95,10.1,1013913
Tim Wallach,- - -,2200,8908,260,908,1125,51,7.3 %,14.7 %,.159,.276,.257,.316,.416,.322,102,37.6,1013554
Scott Cooper,- - -,570,2032,33,197,211,7,9.5 %,14.7 %,.120,.300,.265,.337,.386,.322,91,6.6,1002600
Elliott Maddox,- - -,1007,3340,18,360,234,60,12.2 %,10.7 %,.073,.291,.261,.358,.334,.322,103,12.5,1007947
Gary Alexander,- - -,425,1459,55,169,202,8,10.6 %,26.1 %,.182,.277,.230,.311,.411,.322,98,0.8,1000123
Akinori Iwamura,- - -,408,1755,16,222,117,32,10.4 %,18.8 %,.107,.328,.267,.345,.375,.322,96,4.5,7781
Wily Mo Pena,- - -,599,1845,84,211,240,12,6.0 %,30.3 %,.195,.320,.250,.303,.445,.322,91,0.4,344
Bill Renna,- - -,370,1035,28,123,119,2,9.6 %,16.0 %,.153,.262,.239,.315,.391,.322,89,0.2,1010836
Marv Throneberry,- - -,480,1331,53,143,170,3,9.8 %,22.2 %,.179,.269,.237,.311,.416,.322,94,0.7,1013047
Chris Heisey,Reds,424,1153,42,150,125,16,5.4 %,23.2 %,.179,.300,.254,.308,.433,.322,99,5.3,3978
Mark Kotsay,- - -,1899,7110,127,790,720,98,7.8 %,10.6 %,.128,.294,.276,.332,.404,.322,95,20.0,1042
George Mullin,- - -,614,1685,3,163,137,18,7.2 %,13.6 %,.082,.336,.262,.319,.344,.322,99,8.4,1009302
Jose Tabata,Pirates,402,1538,17,192,105,46,7.8 %,14.4 %,.111,.315,.274,.339,.385,.322,103,3.3,2411
Carl Sawatski,- - -,633,1661,58,133,213,2,11.5 %,15.1 %,.159,.254,.242,.330,.401,.322,91,5.1,1011475
Ricky Jordan,- - -,672,2221,55,261,305,10,3.5 %,13.6 %,.143,.303,.281,.308,.424,.322,100,4.0,1006615
Joe Dugan,- - -,1447,5879,42,665,571,37,4.3 %,7.1 %,.091,.298,.280,.317,.372,.322,80,7.4,1003537
Lee Thomas,- - -,1027,3730,106,405,428,25,8.9 %,10.6 %,.142,.261,.255,.327,.397,.322,99,5.7,1012986
Johnny Lipon,- - -,758,3089,10,351,266,28,11.2 %,4.9 %,.065,.272,.259,.346,.324,.322,80,6.4,1007645
Aaron Guiel,- - -,307,1099,35,151,128,8,7.6 %,19.8 %,.168,.280,.246,.322,.414,.322,89,1.3,1503
Al Bridwell,- - -,1252,4928,2,457,348,136,11.3 %,4.0 %,.040,.268,.255,.347,.295,.322,95,20.7,1001422
Brooks Robinson,Orioles,2884,11782,268,1232,1357,28,7.3 %,8.4 %,.133,.271,.267,.322,.401,.322,104,80.2,1011055
Rick Peters,- - -,296,1058,2,135,80,20,10.1 %,10.1 %,.065,.309,.277,.356,.343,.322,98,2.8,1010237
Stu Martin,- - -,722,2481,16,322,183,36,7.7 %,7.5 %,.093,.286,.268,.327,.361,.322,86,5.1,1008198
Johnny Ray,- - -,1346,5664,53,604,594,80,6.2 %,5.8 %,.101,.298,.290,.333,.391,.322,100,24.0,1010727
Denis Menke,- - -,1586,5934,101,605,606,34,11.8 %,14.4 %,.120,.280,.250,.343,.370,.322,104,26.6,1008766
A.J. Ellis,Dodgers,335,1197,25,102,132,0,11.5 %,18.5 %,.122,.301,.256,.349,.378,.322,105,6.8,5677
Ben Sanders,- - -,247,1001,5,132,113,27,4.7 %,6.2 %,.095,.286,.271,.310,.366,.322,94,1.8,1011413
Bert Haas,- - -,720,2674,22,263,263,51,7.6 %,7.0 %,.091,.279,.264,.323,.355,.322,91,4.5,1005168
Clint Courtney,- - -,946,3147,38,260,313,3,8.4 %,4.5 %,.098,.270,.268,.339,.366,.322,92,10.5,1002676
Mike Fontenot,- - -,582,1586,27,175,163,17,8.8 %,18.2 %,.137,.312,.265,.332,.401,.322,92,4.8,3912
Preston Ward,- - -,744,2346,50,219,262,7,9.8 %,13.4 %,.127,.275,.253,.326,.380,.322,86,-0.3,1013623
Tim McCarver,- - -,1896,6206,97,590,645,61,8.8 %,6.8 %,.117,.277,.271,.337,.388,.322,100,27.8,1008378
Chris Coghlan,Marlins,393,1582,21,197,117,27,8.5 %,16.8 %,.121,.317,.270,.337,.390,.322,96,1.1,6878
Danny Moeller,- - -,704,2912,15,379,192,171,10.4 %,13.7 %,.084,.277,.243,.328,.328,.322,96,8.0,1009021
Luis Alicea,- - -,1323,4614,47,551,422,81,10.8 %,13.5 %,.110,.294,.260,.346,.369,.322,90,9.6,584
Jarrod Saltalamacchia,- - -,595,2203,78,277,275,5,8.3 %,29.4 %,.182,.322,.246,.310,.428,.322,94,6.9,5557
Mark Teahen,- - -,831,3171,67,388,332,45,8.2 %,21.4 %,.145,.324,.264,.327,.409,.322,92,2.1,4511
Joe Crede,- - -,888,3377,140,392,470,4,5.9 %,13.6 %,.190,.255,.254,.304,.444,.322,90,12.9,227
J.J. Hardy,- - -,1118,4597,158,550,527,8,7.0 %,14.2 %,.168,.273,.260,.312,.428,.322,95,24.4,3797
Bill Sample,- - -,795,2798,46,371,230,98,7.0 %,8.2 %,.112,.282,.272,.329,.384,.322,99,7.3,1011396
Darren Bragg,- - -,894,2835,46,341,260,56,10.7 %,20.1 %,.126,.311,.255,.340,.381,.322,86,8.2,83
Jerry White,- - -,589,1367,21,155,109,57,10.8 %,12.7 %,.110,.279,.253,.337,.363,.322,98,3.5,1013880
Tony Graffanino,- - -,951,3161,58,442,302,53,8.7 %,15.4 %,.128,.301,.265,.335,.394,.322,90,12.2,235
Matt Wieters,Orioles,657,2610,87,270,328,6,8.7 %,18.4 %,.165,.283,.255,.319,.420,.322,96,14.4,4298
Orator Shaffer,- - -,871,3784,11,601,317,34,6.0 %,8.2 %,.085,.291,.282,.326,.367,.321,118,22.5,1011783
Frankie Gustine,- - -,1261,5037,38,553,480,60,7.3 %,8.5 %,.094,.286,.265,.322,.359,.321,86,7.8,1005152
Oddibe McDowell,- - -,818,3172,74,458,266,169,9.3 %,17.3 %,.142,.288,.253,.323,.395,.321,95,9.2,1008474
Darrin Fletcher,- - -,1217,4271,124,377,583,2,6.0 %,9.3 %,.154,.269,.269,.318,.423,.321,90,12.4,1302
Bill Carrigan,Americans,709,2277,6,194,235,37,9.0 %,8.2 %,.057,.267,.257,.334,.314,.321,98,9.0,1001991
Charlie Berry,- - -,709,2217,23,196,256,13,7.2 %,8.8 %,.107,.287,.267,.322,.374,.321,81,4.0,1000902
Bob Fisher,- - -,503,1908,11,189,170,48,4.2 %,8.2 %,.084,.298,.276,.309,.359,.321,95,7.3,1004076
Fred Pfeffer,- - -,1670,7108,94,1094,1019,382,7.4 %,7.1 %,.115,.265,.255,.312,.369,.321,93,27.1,1010263
Dayan Viciedo,White Sox,338,1235,45,135,153,2,5.1 %,21.5 %,.168,.305,.264,.306,.432,.321,98,0.6,3917
Bud Clancy,- - -,522,1995,12,204,198,19,5.6 %,5.3 %,.087,.293,.281,.325,.368,.321,81,0.2,1002254
Doc Johnston,- - -,1055,4270,14,478,381,139,6.2 %,7.2 %,.088,.283,.263,.319,.351,.321,88,3.7,1006446
Rob Mackowiak,- - -,854,2618,64,307,286,49,8.7 %,22.4 %,.146,.318,.259,.332,.405,.321,91,5.3,995
Jake Flowers,- - -,583,1946,16,229,201,58,9.8 %,7.1 %,.094,.271,.256,.333,.350,.321,82,2.9,1004175
Harry Bay,- - -,673,2960,5,413,141,169,6.6 %, ,.062,.000,.273,.328,.336,.321,104,12.2,1000698
Whitey Platt,- - -,333,1094,13,117,147,2,7.4 %,11.2 %,.114,.280,.255,.314,.369,.321,79,-1.5,1010392
Rich Rollins,- - -,1002,3675,77,419,399,17,7.2 %,11.2 %,.120,.285,.269,.328,.388,.321,99,13.5,1011162
Ken Oberkfell,- - -,1565,5528,29,558,446,62,9.9 %,6.4 %,.085,.292,.278,.351,.362,.321,98,20.0,1009677
Dick Padden,- - -,874,3545,11,423,334,132,6.3 %,3.8 %,.075,.245,.258,.326,.333,.321,92,8.1,1009942
Ezra Sutton,- - -,1263,5536,25,992,671,69,3.1 %,3.3 %,.093,.301,.294,.316,.386,.321,114,31.2,1012746
Johnny Vergez,- - -,672,2537,52,258,292,22,6.7 %,11.9 %,.130,.275,.255,.311,.385,.321,87,5.2,1013413
Lew Riggs,- - -,760,2712,28,298,271,22,6.7 %,5.2 %,.113,.269,.262,.317,.375,.321,90,7.9,1010957
Ray Schalk,- - -,1762,6217,11,579,594,177,10.3 %,5.8 %,.062,.270,.253,.340,.316,.321,88,22.4,1011517
Ray Coleman,- - -,559,1902,20,208,199,19,7.8 %,8.3 %,.116,.275,.258,.318,.374,.321,80,-1.2,1002431
Scott Hairston,- - -,862,2573,105,294,305,36,6.6 %,21.4 %,.203,.273,.243,.298,.446,.321,97,5.1,1926
Vic Power,- - -,1627,6461,126,765,658,45,4.3 %,3.8 %,.127,.278,.284,.315,.411,.321,94,14.7,1010506
Walter Holke,- - -,1212,4833,24,464,487,81,4.0 %,6.3 %,.077,.304,.287,.318,.363,.321,88,1.0,1005946
Ray Mueller,- - -,985,3238,56,281,373,14,7.7 %,9.9 %,.116,.267,.252,.314,.368,.321,90,11.1,1009283
Manny Sanguillen,- - -,1441,5380,65,566,585,36,4.1 %,6.2 %,.102,.305,.296,.326,.398,.321,99,27.8,1011434
Johnny Logan,- - -,1503,5893,93,651,547,19,7.7 %,8.0 %,.110,.279,.268,.330,.378,.321,96,31.1,1007705
Mike Davis,- - -,935,3298,91,419,371,134,7.2 %,16.3 %,.155,.286,.259,.313,.415,.321,102,12.5,1003070
Bill Hall,- - -,1053,3674,125,450,440,62,7.8 %,26.4 %,.188,.310,.248,.308,.436,.321,92,8.7,1605
Willie Davis,- - -,2418,9822,182,1217,1053,398,4.3 %,9.9 %,.133,.293,.279,.311,.412,.321,105,53.7,1003088
Cesar Tovar,- - -,1480,6177,46,834,435,226,6.7 %,6.6 %,.090,.291,.278,.335,.368,.321,101,22.1,1013142
Jerry Browne,- - -,963,3707,23,431,288,73,10.6 %,8.8 %,.080,.293,.271,.351,.351,.321,97,10.3,1001525
Delmon Young,- - -,983,3936,100,426,520,34,4.2 %,17.9 %,.141,.322,.282,.316,.423,.321,96,-1.2,2140
Jerome Walton,- - -,529,1761,25,241,132,58,7.8 %,15.9 %,.107,.310,.269,.333,.376,.321,95,4.3,1013593
Jerry Coleman,Yankees,723,2415,16,267,217,22,9.7 %,9.0 %,.076,.287,.263,.340,.339,.321,86,7.2,1002423
Damian Miller,- - -,977,3558,87,361,406,5,8.5 %,21.7 %,.149,.318,.262,.329,.411,.321,88,13.8,65
Ricky Ledee,- - -,835,2307,63,290,318,29,10.6 %,21.5 %,.169,.289,.243,.325,.412,.321,89,1.2,1407
Nig Clarke,- - -,506,1711,6,157,127,16,8.1 %,11.7 %,.079,.250,.254,.318,.333,.321,103,6.1,1002299
Rick Miller,- - -,1398,4440,28,552,369,78,10.2 %,13.1 %,.081,.309,.269,.346,.350,.320,95,13.8,1008928
Fred Beck,- - -,635,2328,33,191,251,31,5.2 %,9.8 %,.108,.279,.252,.301,.360,.320,90,2.1,1000752
Bill Merritt,- - -,400,1549,8,182,195,21,7.0 %,5.4 %,.062,.286,.272,.327,.334,.320,78,1.1,1008784
Marquis Grissom,- - -,2149,8959,227,1187,967,429,6.2 %,13.8 %,.142,.295,.272,.318,.415,.320,93,26.9,652
Pepe Mangual,- - -,314,1153,16,155,83,64,12.7 %,20.6 %,.098,.300,.242,.341,.340,.320,93,1.2,1008058
Tony Batista,- - -,1293,4959,221,625,718,47,5.8 %,15.9 %,.202,.257,.251,.299,.453,.320,90,12.2,124
Chris Fulmer,- - -,252,1004,1,176,85,76,12.2 %,18.5 %,.066,.326,.247,.343,.313,.320,108,7.7,1004401
Leo Norris,Phillies,270,1055,20,109,112,7,5.7 %,12.5 %,.130,.286,.262,.307,.392,.320,72,-1.3,1009636
Brant Brown,- - -,401,1150,45,142,146,15,6.4 %,27.5 %,.198,.308,.247,.301,.445,.320,87,-0.6,1001498
Wayne Garrett,- - -,1068,3917,61,438,340,38,14.3 %,13.5 %,.102,.267,.239,.350,.341,.320,99,17.6,1004547
Chet Chadbourne,- - -,347,1552,2,183,82,78,9.4 %,5.7 %,.061,.269,.255,.333,.316,.320,94,4.0,1002110
Russ Scarritt,- - -,285,1121,3,119,120,17,4.4 %,8.1 %,.099,.311,.285,.320,.385,.320,80,-0.2,1011499
Turner Ward,- - -,587,1790,39,210,219,33,10.4 %,13.8 %,.137,.273,.251,.332,.388,.320,88,5.0,1013625
Lou Clinton,- - -,691,2379,65,270,269,12,7.9 %,17.6 %,.171,.277,.247,.308,.418,.320,97,4.2,1002358
Joe Nolan,- - -,600,1649,27,156,178,7,9.9 %,11.1 %,.115,.281,.263,.336,.378,.320,95,2.0,1009617
Jody Reed,- - -,1264,5248,27,566,392,40,10.3 %,7.8 %,.080,.290,.270,.349,.350,.320,94,15.0,1010771
Jimmy Outlaw,- - -,650,2191,6,257,184,24,8.6 %,8.0 %,.066,.292,.268,.333,.334,.320,86,0.7,1009909
Daryl Boston,- - -,975,2901,83,378,278,98,8.2 %,16.2 %,.161,.274,.249,.312,.410,.320,96,5.1,1001219
Reid Nichols,- - -,493,1294,22,156,131,27,7.7 %,11.5 %,.125,.286,.266,.326,.391,.320,92,2.0,1009567
Jim Morrison,- - -,1072,3695,112,371,435,50,5.8 %,14.1 %,.159,.275,.260,.305,.419,.320,97,11.7,1009212
Lance Johnson,- - -,1426,5800,34,767,486,327,6.1 %,6.6 %,.095,.307,.291,.334,.386,.320,94,26.4,1006482
Felipe Lopez,- - -,1185,4864,90,600,439,124,9.1 %,18.8 %,.127,.314,.264,.333,.391,.320,91,9.9,1311
Eddie Milner,- - -,764,2718,42,376,195,145,10.5 %,10.3 %,.122,.271,.253,.333,.376,.320,97,11.8,1008964
Brennan Boesch,- - -,403,1540,45,182,183,18,6.7 %,19.2 %,.159,.298,.260,.315,.418,.320,97,0.2,914
Jimmy Walsh,- - -,541,2100,6,235,150,92,11.9 %,10.3 %,.085,.259,.232,.330,.317,.320,97,4.6,1013573
Stan Javier,- - -,1675,5755,57,781,503,246,10.0 %,14.6 %,.094,.311,.269,.345,.363,.320,95,19.4,1006372
Fred Valentine,- - -,533,1659,36,180,138,47,9.4 %,13.7 %,.126,.270,.247,.330,.373,.320,109,3.9,1013328
Bill Spiers,- - -,1198,3845,37,477,388,97,9.2 %,12.9 %,.099,.305,.271,.341,.370,.320,93,9.6,1012338
Mike Kingery,- - -,770,2282,30,292,219,45,8.4 %,10.9 %,.123,.290,.268,.330,.391,.320,87,0.3,1006928
Phil Todt,- - -,957,3765,57,372,453,29,5.5 %,6.1 %,.138,.263,.258,.305,.395,.320,77,1.1,1013098
Chone Figgins,- - -,1244,5284,35,700,402,337,10.0 %,15.5 %,.087,.326,.277,.349,.364,.320,95,20.9,1580
Otis Clymer,- - -,385,1463,2,182,98,83,6.8 %,13.0 %,.065,.298,.267,.322,.332,.320,103,3.8,1002370
Ian Stewart,- - -,487,1620,59,194,204,16,10.3 %,27.3 %,.185,.290,.232,.319,.417,.320,83,2.5,5950
Butch Wynegar,- - -,1279,5067,65,498,506,10,12.4 %,8.4 %,.093,.268,.255,.348,.347,.320,96,27.3,1014308
Mark Grudzielanek,- - -,1799,7603,90,946,640,133,4.8 %,12.5 %,.104,.322,.289,.332,.393,.320,91,23.9,653
Juan Beniquez,- - -,1413,5151,79,610,476,104,6.8 %,10.7 %,.105,.295,.274,.327,.379,.320,96,10.9,1000833
Mike Lansing,- - -,1096,4551,84,554,440,119,6.6 %,12.5 %,.130,.296,.271,.324,.401,.319,83,10.0,1007334
Richie Scheinblum,- - -,462,1392,13,131,127,0,10.7 %,9.7 %,.089,.284,.263,.343,.352,.319,105,1.9,1011541
Tracy Jones,- - -,479,1434,27,173,164,62,7.0 %,9.8 %,.114,.287,.273,.329,.388,.319,97,2.0,1006600
Nate Schierholtz,- - -,677,1892,45,206,191,26,6.0 %,17.1 %,.160,.299,.265,.314,.425,.319,98,5.9,6201
George Perring,- - -,513,1971,9,198,183,34,7.8 %,5.8 %,.096,.280,.248,.311,.345,.319,97,8.5,1010203
Jeffrey Leonard,- - -,1402,5476,144,614,723,163,6.2 %,18.3 %,.144,.303,.266,.312,.411,.319,101,10.1,1007535
Jake Powell,- - -,688,2767,22,353,327,65,6.3 %,7.9 %,.092,.290,.271,.320,.363,.319,81,-0.4,1010489
Al Woods,- - -,614,2203,35,233,196,23,7.6 %,8.2 %,.116,.282,.271,.326,.387,.319,91,1.1,1014234
Michael Barrett,- - -,1048,3873,98,398,424,11,7.2 %,12.4 %,.158,.279,.263,.320,.422,.319,87,5.9,762
Robert Fick,- - -,840,2658,69,287,324,6,8.8 %,14.5 %,.146,.280,.258,.328,.405,.319,93,3.7,466
John Mayberry,Phillies,437,1232,46,149,148,14,7.3 %,23.0 %,.185,.287,.245,.304,.430,.319,99,2.0,3390
Randy Reese,Giants,331,1230,14,166,111,21,4.1 %,8.7 %,.097,.301,.281,.315,.378,.319,78,1.3,1010777
Chris James,- - -,930,3294,90,343,386,27,5.9 %,14.9 %,.152,.283,.261,.307,.413,.319,97,3.8,1006347
Ron Swoboda,- - -,928,2924,73,285,344,20,10.2 %,22.1 %,.137,.294,.242,.324,.379,.319,103,7.9,1012796
Joe Tinker,- - -,1804,7145,31,774,782,336,5.8 %,5.4 %,.091,.297,.262,.308,.353,.319,96,55.5,1013075
Ed Abbaticchio,- - -,855,3459,11,355,324,142,8.4 %,8.0 %,.072,.267,.254,.325,.325,.319,99,9.9,1000005
Tommy Dowd,- - -,1320,5956,24,903,501,366,6.2 %,5.8 %,.075,.286,.271,.319,.345,.319,81,-3.1,1003443
Gus Mancuso,- - -,1460,5025,53,386,543,8,8.3 %,5.3 %,.086,.272,.265,.328,.351,.319,86,11.0,1008051
Mike Vail,- - -,654,1705,34,146,219,3,4.8 %,18.6 %,.122,.326,.279,.313,.400,.319,95,3.1,1013309
Roy Howell,- - -,1103,4181,80,422,454,9,7.6 %,16.1 %,.128,.298,.261,.321,.389,.319,96,9.4,1006104
Willard Brown,- - -,418,1724,6,236,252,39,7.1 %,7.2 %,.077,.280,.261,.319,.338,.319,85,0.6,1001568
Kelly Shoppach,- - -,572,1855,70,208,216,1,8.4 %,33.6 %,.189,.313,.223,.312,.413,.319,96,7.8,3867
Roy Hughes,- - -,762,2877,5,396,205,80,7.7 %,6.1 %,.067,.291,.273,.332,.340,.319,79,2.9,1006161
Delos Drake,- - -,335,1283,5,120,119,43,5.5 %,8.9 %,.091,.281,.263,.308,.354,.319,85,0.2,1003477
Eddie Foster,- - -,1500,6317,6,732,451,195,8.4 %,4.6 %,.062,.277,.264,.329,.326,.319,91,21.2,1004248
Geno Petralli,- - -,766,2131,24,184,192,8,10.1 %,12.3 %,.092,.298,.267,.344,.360,.319,96,4.6,1010244
Scott Podsednik,- - -,1077,4346,42,563,312,309,7.7 %,14.5 %,.099,.324,.281,.339,.379,.319,89,9.8,1095
Mickey Witek,- - -,580,2325,22,239,196,7,6.4 %,3.6 %,.069,.281,.277,.324,.347,.319,88,6.2,1014163
Hugh Bradley,- - -,277,1023,2,84,117,23,5.8 %,6.1 %,.083,.304,.261,.314,.344,.319,89,1.4,1001310
Tom McBride,- - -,408,1298,2,140,141,13,7.2 %,4.9 %,.065,.289,.275,.328,.340,.319,87,0.6,1008346
George Browne,- - -,1102,4717,18,614,303,190,5.5 %,5.3 %,.066,.313,.273,.318,.339,.319,100,11.8,1001519
Butch Hobson,- - -,737,2799,98,314,397,11,6.5 %,20.3 %,.175,.280,.248,.297,.423,.319,90,1.5,1005872
Tyler Colvin,- - -,384,1167,47,148,160,13,6.0 %,26.3 %,.214,.292,.241,.289,.454,.319,89,1.6,5310
Lou Chiozza,- - -,616,2480,14,303,197,45,5.8 %,6.7 %,.084,.294,.277,.324,.361,.319,75,0.4,1002194
Larry Twitchell,- - -,639,2758,19,362,384,84,6.1 %,8.4 %,.093,.283,.263,.313,.356,.319,91,0.0,1013243
Jerry Martin,- - -,909,2904,85,337,345,38,7.1 %,19.8 %,.158,.288,.251,.307,.409,.319,93,3.7,1008174
Randall Simon,- - -,521,1717,49,172,237,2,4.8 %,8.6 %,.139,.285,.283,.320,.422,.319,91,-1.3,497
Skip Schumaker,- - -,935,3043,25,371,241,22,7.9 %,12.3 %,.086,.321,.285,.344,.372,.319,97,3.2,3704
Ken Landreaux,- - -,1220,4504,91,522,479,145,6.6 %,9.3 %,.132,.277,.268,.317,.400,.319,99,8.8,1007303
Ryan Sweeney,- - -,605,2112,20,243,204,18,8.0 %,14.6 %,.106,.320,.278,.336,.385,.319,96,8.0,6352
Babe Pinelli,- - -,774,2964,5,327,298,71,6.1 %,5.5 %,.070,.293,.276,.328,.346,.319,81,6.8,1010355
Tom Grieve,- - -,662,2093,65,209,254,7,6.5 %,20.3 %,.153,.286,.249,.301,.401,.319,100,2.0,1005035
Shano Collins,- - -,1799,7036,22,747,709,225,4.7 %,7.2 %,.100,.286,.264,.306,.364,.319,89,9.3,1002466
Larry Bigbie,- - -,388,1367,31,164,137,25,8.7 %,22.1 %,.128,.329,.267,.331,.395,.319,92,1.4,128
Tom Padden,- - -,399,1319,2,122,110,5,9.6 %,9.2 %,.050,.302,.272,.345,.321,.319,84,2.7,1009943
Bennie Warren,- - -,377,1129,33,97,104,1,11.4 %,15.7 %,.141,.236,.219,.313,.360,.319,91,3.1,1013639
Ken Harvey,Royals,271,1078,27,102,126,3,5.6 %,18.6 %,.137,.317,.274,.322,.411,.319,86,-2.1,604
Daryl Spencer,- - -,1098,4206,105,457,428,13,10.7 %,12.3 %,.136,.257,.244,.327,.380,.319,91,11.7,1012321
Red Killefer,- - -,467,1794,3,181,116,57,7.1 %,5.5 %,.066,.283,.248,.328,.314,.319,100,4.9,1006907
Jermaine Allensworth,- - -,320,1190,15,155,114,42,8.7 %,19.2 %,.107,.317,.260,.339,.367,.318,87,-0.7,1000148
Lloyd McClendon,- - -,541,1375,35,150,154,15,10.4 %,12.0 %,.137,.254,.244,.325,.381,.318,97,0.7,1008394
Lastings Milledge,- - -,433,1659,33,166,167,40,6.3 %,17.3 %,.125,.312,.269,.328,.395,.318,92,0.2,6441
Sam Bohne,- - -,663,2593,16,309,228,75,7.4 %,5.9 %,.097,.275,.261,.321,.359,.318,82,8.3,1001130
Barry Bonnell,- - -,929,3354,56,363,355,64,6.8 %,11.5 %,.117,.294,.272,.323,.389,.318,90,3.3,1001171
Wes Chamberlain,- - -,385,1352,43,144,167,20,5.7 %,18.4 %,.169,.286,.255,.299,.424,.318,94,1.2,1002126
Ross Gload,- - -,794,1819,34,195,222,12,5.9 %,12.3 %,.127,.304,.281,.325,.408,.318,89,-1.6,1538
Jackie Tavener,- - -,632,2432,13,254,243,46,7.6 %,9.5 %,.109,.281,.255,.318,.364,.318,73,2.8,1012850
Bobby Byrne,- - -,1283,5480,10,667,329,176,8.3 %,6.0 %,.070,.284,.254,.324,.323,.318,92,17.3,1001797
Willie Kirkland,- - -,1149,3882,148,443,509,52,8.3 %,16.7 %,.182,.252,.240,.304,.422,.318,96,8.7,1006968
Tim Corcoran,- - -,469,1213,12,120,128,4,10.7 %,8.4 %,.086,.284,.270,.349,.355,.318,95,1.9,1002621
Red Ruffing,- - -,882,2083,36,207,273,1,4.7 %,12.8 %,.120,.297,.269,.306,.389,.318,80,13.6,1011296
Frank Snyder,- - -,1392,4619,47,331,525,37,6.1 %,9.0 %,.094,.285,.265,.313,.360,.318,89,14.7,1012245
Jim Norris,- - -,468,1494,7,173,110,59,11.6 %,8.6 %,.087,.285,.264,.348,.351,.318,95,3.0,1009635
Mark Ellis,- - -,1362,5526,105,675,538,78,7.7 %,13.8 %,.125,.294,.265,.330,.390,.318,95,27.1,1443
John Dobbs,- - -,582,2506,7,305,207,78,7.5 %, ,.068,.000,.263,.325,.331,.318,97,5.8,1003340
Jimmy Brown,- - -,890,3832,9,465,319,39,6.0 %,2.9 %,.073,.286,.279,.326,.352,.318,85,8.3,1001528
Gene Baker,- - -,630,2491,39,265,227,21,7.4 %,8.8 %,.120,.277,.265,.321,.385,.318,86,6.3,1000457
Billy Zitzmann,- - -,406,1142,3,197,89,42,7.3 %,7.4 %,.069,.289,.267,.333,.336,.318,81,-0.8,1014456
Gene Freese,- - -,1115,3784,115,429,432,51,6.4 %,14.1 %,.163,.270,.254,.305,.418,.318,93,7.4,1004328
Roy Hartsfield,Braves,265,1063,13,138,59,14,6.9 %,13.7 %,.085,.310,.273,.324,.358,.318,86,0.6,1005463
Bob Stinson,- - -,624,1918,33,166,180,8,10.5 %,13.2 %,.106,.275,.250,.337,.356,.318,94,4.9,1012544
Clyde Kluttz,- - -,656,2072,19,172,212,5,6.4 %,5.7 %,.086,.278,.268,.318,.354,.318,84,5.3,1007021
John Farrell,- - -,541,2398,4,329,141,68,8.0 %, ,.074,.000,.261,.324,.335,.318,95,7.8,1003947
Ryan Thompson,- - -,401,1385,52,165,176,9,6.5 %,25.1 %,.190,.291,.243,.301,.433,.318,92,3.8,713
Ron Coomer,- - -,907,3238,92,333,449,13,5.5 %,13.2 %,.147,.291,.274,.313,.421,.318,84,2.2,816
Bennie Tate,- - -,566,1713,4,144,173,5,6.9 %,3.0 %,.072,.286,.279,.330,.351,.318,79,2.2,1012834
Craig Grebeck,- - -,700,2299,19,239,187,4,9.9 %,11.9 %,.095,.292,.261,.340,.356,.318,90,9.2,1004982
Doug Mirabelli,- - -,549,1655,58,162,206,3,10.0 %,25.1 %,.176,.282,.231,.317,.407,.318,88,5.3,202
Eddie Bressoud,- - -,1186,4106,94,443,365,9,8.7 %,17.6 %,.149,.289,.252,.319,.401,.318,94,15.3,1001397
Cozy Dolan,- - -,830,3487,10,428,315,114,6.5 %,7.5 %,.064,.247,.269,.322,.333,.318,94,4.6,1003360
Bob Scheffing,- - -,517,1474,20,105,187,6,7.0 %,8.6 %,.097,.279,.263,.316,.360,.318,84,3.4,1011535
Frank Gibson,- - -,471,1238,8,121,146,12,4.4 %,10.3 %,.103,.303,.274,.310,.377,.318,81,1.6,1004667
Ted Savage,- - -,642,1613,34,202,163,49,12.4 %,16.9 %,.127,.266,.233,.334,.361,.318,98,2.6,1011470
Dick Higham,- - -,372,1804,4,384,204,18,0.9 %,1.6 %,.071,.311,.307,.314,.378,.318,115,6.1,1005794
Joe Evans,- - -,733,2362,3,306,210,67,9.0 %,6.4 %,.070,.279,.259,.329,.328,.318,80,2.6,1003867
Sherry Robertson,- - -,596,1728,26,200,151,32,11.7 %,13.8 %,.112,.257,.230,.323,.342,.318,83,0.2,1011047
